handle,item_code,category,name,fob_usd,landed_thb,retail_thb,retail_usd,retail_eur,source_pricelist
designpark-bta17-07,BTA17-07,Play (Dry),Hunter's Hut,69380.0,3670033.8,5646205.85,169602.08,145882.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row45
designpark-bta17-08,BTA17-08,Play (Dry),Flower Tree Shelter,47740.0,2525330.25,3885123.46,116702.27,100380.93,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row46
designpark-bta17-10,BTA17-10,Play (Dry),Maya's Excursion,22480.0,1189137.49,1829442.29,54953.22,47267.77,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row47
designpark-bta18-0101,BTA18-0101,Play (Dry),Giraffe Family,48440.0,2562358.55,3942090.08,118413.44,101852.79,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row48
designpark-bta18-0103,BTA18-0103,Play (Dry),Baby Alligator In The Forest,46880.0,2479838.35,3815135.92,114599.96,98572.64,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row49
designpark-bga15-01,BGA15-01,Play (GRC),Stone Age,228800.0,12102965.29,18619946.6,559310.4,481088.33,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (GRC):row5
designpark-bga15-05,BGA15-05,Play (GRC),Adventure Castle,226050.0,11957496.96,18396149.17,552587.92,475306.02,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (GRC):row6
designpark-bga15-06,BGA15-06,Play (GRC),Robinson Crusoe,147070.0,7779646.44,11968686.83,359518.27,309238.03,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (GRC):row7
designpark-bga15-07,BGA15-07,Play (GRC),Robin Hood,115280.0,6098032.52,9381588.49,281806.39,242394.51,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (GRC):row8
designpark-bga15-08,BGA15-08,Play (GRC),House Of Dwarf,94380.0,4992473.17,7680727.95,230715.54,198448.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (GRC):row9
designpark-sm12-2001,SM12-2001,Play (Aquatic),Fantasy World,29960.0,1584811.36,2438171.32,73238.37,62995.66,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row5
designpark-sm12-2002,SM12-2002,Play (Aquatic),Fantasy World,54230.0,2868635.51,4413285.4,132567.32,114027.19,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row6
designpark-sm12-2003,SM12-2003,Play (Aquatic),Fantasy World,69526.0,3677756.83,5658087.43,169958.98,146189.46,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row7
designpark-sm12-2101,SM12-2101,Play (Aquatic),Jungle Adventure,45815.0,2423502.43,3728465.28,111996.53,96333.31,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row8
designpark-sm12-2102,SM12-2102,Play (Aquatic),Jungle Adventure,63734.0,3371374.08,5186729.35,155800.21,134010.86,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row9
designpark-sm12-2103,SM12-2103,Play (Aquatic),Jungle Adventure,72320.0,3825552.66,5885465.63,176789.02,152064.28,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row10
designpark-sm12-2201,SM12-2201,Play (Aquatic),Animal Kingdom,37906.0,2005135.5,3084823.85,92662.68,79703.38,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row11
designpark-sm12-2202,SM12-2202,Play (Aquatic),Animal Kingdom,55836.0,2953589.02,4543983.11,136493.25,117404.06,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row12
designpark-sm12-2203,SM12-2203,Play (Aquatic),Animal Kingdom,74862.0,3960018.3,6092335.85,183003.04,157409.24,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row13
designpark-sm12-2301,SM12-2301,Play (Aquatic),Under the Sea,47928.0,2535274.99,3900423.06,117161.84,100776.23,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row14
designpark-sm12-2302,SM12-2302,Play (Aquatic),Under the Sea,77903.0,4120879.83,6339815.12,190436.88,163803.43,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row15
designpark-sm12-2303,SM12-2303,Play (Aquatic),Under the Sea,105050.0,5556890.31,8549062.02,256798.77,220884.31,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row16
designpark-sm12-3101,SM12-3101,Play (Aquatic),Treasure Expedition,128150.0,6778824.31,10428960.48,313267.6,269455.72,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row17
designpark-sm12-3110,SM12-3110,Play (Aquatic),Boat,141746.0,7498019.75,11535415.0,346503.55,298043.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row18
designpark-sm12-3111,SM12-3111,Play (Aquatic),Dream Car,60742.0,3213104.53,4943237.74,148486.16,127719.7,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row19
designpark-sm12-3112,SM12-3112,Play (Aquatic),Amazon,79747.0,4218422.96,6489881.48,194944.61,167680.73,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row20
designpark-sm12-3113,SM12-3113,Play (Aquatic),Santorini,62188.0,3289594.43,5060914.51,152020.96,130760.15,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row21
designpark-sdm12-b101,SDM12-B101,Play (Aquatic),Cat Tail,3300.0,174562.0,268556.92,8066.98,6938.77,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row22
designpark-sdm12-b102,SDM12-B102,Play (Aquatic),Cat Tail,2970.0,157105.8,241701.23,7260.28,6244.9,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row23
designpark-sdm12-241,SDM12-241,Play (Aquatic),Water Tunnel,2530.0,133830.87,205893.65,6184.68,5319.73,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row24
designpark-sdm12-261,SDM12-261,Play (Aquatic),Water Spray,3036.0,160597.04,247072.37,7421.62,6383.67,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row25
designpark-sdm12-248,SDM12-248,Play (Aquatic),Water Arch,2090.0,110555.93,170086.05,5109.09,4394.56,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row26
designpark-sdm12-b112,SDM12-B112,Play (Aquatic),Water Flower,4455.0,235658.7,362551.85,10890.42,9367.35,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row27
designpark-sdm12-b113-a,SDM12-B113-A,Play (Aquatic),Palm Bucket,5610.0,296755.39,456546.75,13713.86,11795.92,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row28
designpark-sdm12-b113-b,SDM12-B113-B,Play (Aquatic),Flower Bucket,6050.0,320030.33,492354.35,14789.46,12721.09,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row29
designpark-sdm12-262,SDM12-262,Play (Aquatic),Water Shower-Sun,2873.0,151974.73,233807.28,7023.16,6040.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row30
designpark-sdm12-263,SDM12-263,Play (Aquatic),Water Shower-Cloud,2873.0,151974.73,233807.28,7023.16,6040.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row31
designpark-sdm12-264,SDM12-264,Play (Aquatic),Water Revolution,5515.0,291730.13,448815.58,13481.63,11596.16,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row32
designpark-sdm12-b117,SDM12-B117,Play (Aquatic),Dog Bench,2640.0,139649.61,214845.55,6453.58,5551.02,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row33
designpark-sdm12-b118,SDM12-B118,Play (Aquatic),Giraffe Bench,5214.0,275807.96,424319.94,12745.82,10963.26,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row34
designpark-sdm12-b119-a,SDM12-B119-A,Play (Aquatic),Parrot Optical Illusion,4188.0,221535.05,340823.15,10237.73,8805.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row35
designpark-sdm12-b119-b,SDM12-B119-B,Play (Aquatic),Alligator Optical Illusion,4188.0,221535.05,340823.15,10237.73,8805.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row36
designpark-sdm12-b119-c,SDM12-B119-C,Play (Aquatic),Turtle Optical Illusion,4188.0,221535.05,340823.15,10237.73,8805.94,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row37
designpark-sdm12-b120,SDM12-B120,Play (Aquatic),Water Shower -Bamboo,2673.0,141395.22,217531.11,6534.25,5620.41,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row38
designpark-sdm12-b121,SDM12-B121,Play (Aquatic),Water Shower -Bamboo,2145.0,113465.29,174561.98,5243.53,4510.2,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row39
designpark-sdm12-b122,SDM12-B122,Play (Aquatic),Sail Boat,7700.0,407311.34,626632.83,18822.95,16190.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row40
designpark-sdm12-b123,SDM12-B123,Play (Aquatic),Sail Boat,6930.0,366580.19,563969.52,16940.65,14571.43,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row41
designpark-sdm12-221,SDM12-221,Play (Aquatic),Water Drop,6930.0,366580.19,563969.52,16940.65,14571.43,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row42
designpark-sdm12-250,SDM12-250 🆕,Play (Aquatic),Water Gun,3267.0,172816.37,265871.34,7986.31,6869.39,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row43
designpark-sdm12-271,SDM12-271🆕,Play (Aquatic),Leaf Fountain,3735.0,197572.44,303957.6,9130.35,7853.43,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row44
designpark-mem18-011,MEM18-011🆕,Play (Aquatic),Water Seesaw B,3378.0,178688.01,274904.63,8257.65,7102.78,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row45
designpark-sdm12-300-a,SDM12-300-A,Play (Aquatic),Tripping Bucket,19602.0,1036898.28,1595228.12,47917.84,41216.32,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row46
designpark-sdm12-300-b,SDM12-300-B,Play (Aquatic),Tripping Bucket,19602.0,1036898.28,1595228.12,47917.84,41216.32,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row47
designpark-sdm12-300-c,SDM12-300-C,Play (Aquatic),Tripping Bucket,19602.0,1036898.28,1595228.12,47917.84,41216.32,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Aquatic):row48
designpark-dp-theme-star,DP-THEME-star,Themes (1),STAR,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row3
designpark-dp-theme-art,DP-THEME-art,Themes (2),ART,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row4
designpark-dp-theme-animak,DP-THEME-animak,Themes (3),ANIMAK,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row5
designpark-dp-theme-nature,DP-THEME-nature,Themes (4),NATURE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row6
designpark-dp-theme-nature,DP-THEME-nature,Themes (5),NATURE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row7
designpark-dp-theme-animal,DP-THEME-animal,Themes (6),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row8
designpark-dp-theme-cloud,DP-THEME-cloud,Themes (7),CLOUD,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row9
designpark-dp-theme-etc,DP-THEME-etc,Themes (8),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row10
designpark-dp-theme-etc,DP-THEME-etc,Themes (9),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row11
designpark-dp-theme-animal,DP-THEME-animal,Themes (10),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row12
designpark-dp-theme-nature,DP-THEME-nature,Themes (11),NATURE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row13
designpark-dp-theme-fairy-tale,DP-THEME-fairy-tale,Themes (12),FAIRY TALE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row14
designpark-dp-theme-sea,DP-THEME-sea,Themes (13),SEA,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row15
designpark-dp-theme-house,DP-THEME-house,Themes (14),HOUSE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row16
designpark-dp-theme-sea,DP-THEME-sea,Themes (15),SEA,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row17
designpark-dp-theme-sea,DP-THEME-sea,Themes (16),SEA,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row18
designpark-dp-theme-animal,DP-THEME-animal,Themes (17),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row19
designpark-dp-theme-etc,DP-THEME-etc,Themes (18),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row20
designpark-dp-theme-sky,DP-THEME-sky,Themes (19),SKY,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row21
designpark-dp-theme-tower,DP-THEME-tower,Themes (20),TOWER,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row22
designpark-dp-theme-animal,DP-THEME-animal,Themes (21),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row23
designpark-dp-theme-nature,DP-THEME-nature,Themes (22),NATURE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row24
designpark-dp-theme-fairy-tale,DP-THEME-fairy-tale,Themes (23),FAIRY TALE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row25
designpark-dp-theme-cloud,DP-THEME-cloud,Themes (24),CLOUD,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row26
designpark-dp-theme-animal,DP-THEME-animal,Themes (25),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row27
designpark-dp-theme-etc,DP-THEME-etc,Themes (26),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row28
designpark-dp-theme-etc,DP-THEME-etc,Themes (27),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row29
designpark-dp-theme-star,DP-THEME-star,Themes (28),STAR,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row30
designpark-dp-theme-animal,DP-THEME-animal,Themes (29),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row31
designpark-dp-theme-nature,DP-THEME-nature,Themes (30),NATURE,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row32
designpark-dp-theme-etc,DP-THEME-etc,Themes (31),ETC,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row33
designpark-dp-theme-animal,DP-THEME-animal,Themes (32),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row34
designpark-dp-theme-animal,DP-THEME-animal,Themes (33),ANIMAL,0.0,,,,,2023 Theme dry&waterplay list in 2022_Designpark_240313.xlsx:row35
