item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb,note,family,family_discount,recommended_nok,net_nok,description
BP 10 LF,11312.240498,False,flat_uplift,0.0,flat_uplift,694841.71,694841.71,0.5889,,1062115.19,29788.61,25677.98,38126.79,153053.65239749773,59034.98,45456.93,,SHOCKDECK™,0.3,173791.0,121654.0,- for installation in grass/loose fills
BP 10 AG,10870.645235,False,flat_uplift,0.0,flat_uplift,667717.23,667717.23,0.589,,1020653.48,28625.76,24675.59,36638.44,147078.9060247051,56730.44,43682.44,,SHOCKDECK™,0.3,167007.0,116905.0,- for installation in artificial grass
BP 11,23448.345816,False,flat_uplift,0.0,flat_uplift,1440288.42,1440288.42,0.589,,2201583.73,61746.71,53226.07,79030.34,317254.1257810857,122369.45,94224.48,,SHOCKDECK™,0.3,360240.0,252168.0,Junior Power 2
BP 11 LF,26308.068014,False,flat_uplift,0.0,flat_uplift,1615943.65,1615943.65,0.589,,2470085.29,69277.24,59717.44,88668.75,355945.92404363886,137293.43,105715.94,,SHOCKDECK™,0.3,404174.0,282922.0,- for installation in grass/loose fills
BP 11 AG,24227.390902,False,flat_uplift,0.0,flat_uplift,1488140.39,1488140.39,0.589,,2274728.88,63798.18,54994.45,81656.03,327794.5395758335,126435.04,97354.98,,SHOCKDECK™,0.3,372208.0,260546.0,- for installation in artificial grass
BP 15,107430.205775,False,flat_uplift,0.0,flat_uplift,6598780.2,6598780.2,0.5889,,10086706.88,282896.81,243858.89,362082.92,1453521.5525682592,560644.03,431695.9,,SHOCKDECK™,0.3,1321055.0,1155325.0,Marathon Play
BP 15 LF,111526.74806,False,flat_uplift,0.0,flat_uplift,6850405.73,6850405.73,0.589,,10471334.47,293684.26,253157.75,375889.91,1508947.4214782156,582022.58,448157.38,,SHOCKDECK™,0.3,1383990.0,1199380.0,- for installation in grass/loose fills
BP 15 AG,108734.441437,False,flat_uplift,0.0,flat_uplift,6678891.42,6678891.42,0.589,,10209162.6,286331.26,246819.42,366478.72,1471167.750215088,567450.42,436936.82,,SHOCKDECK™,0.3,1341092.0,1169351.0,- for installation in artificial grass
BP 17,12979.12546,False,flat_uplift,0.0,flat_uplift,797228.26,797228.26,0.5889,,1218620.34,34178.03,29461.69,43744.86,175606.46424813592,67733.92,52155.12,,SHOCKDECK™,0.3,199400.0,139580.0,Junior Power
BP 17 LF,14280.850473,False,flat_uplift,0.0,flat_uplift,877185.26,877185.26,0.5889,,1340840.33,37605.88,32416.51,48132.2,193218.69302739983,74527.21,57385.95,,SHOCKDECK™,0.3,219398.0,153579.0,- for installation in grass/loose fills
BP 17 AG,13434.482799,False,flat_uplift,0.0,flat_uplift,825198.08,825198.08,0.589,,1261374.21,35377.13,30495.32,45279.6,181767.41033943213,70110.29,53984.92,,SHOCKDECK™,0.3,206396.0,144477.0,- for installation in artificial grass
BP 18,39691.965885,False,flat_uplift,0.0,flat_uplift,2438034.6,2438034.6,0.589,,3726710.03,104521.17,90097.93,133777.86,537028.9246069498,207139.73,159497.59,,SHOCKDECK™,0.3,574454.0,426855.0,Never Stop Playing
BP 18 LF,41898.08246,False,flat_uplift,0.0,flat_uplift,2573542.85,2573542.85,0.589,,3933844.07,110330.55,95105.65,141213.36,566877.494346791,218652.75,168362.62,,SHOCKDECK™,0.3,608347.0,450580.0,- for installation in grass/loose fills
BP 18 AG,40039.365317,False,flat_uplift,0.0,flat_uplift,2459373.23,2459373.23,0.589,,3759327.65,105435.98,90886.5,134948.74,541729.2093929583,208952.7,160893.58,,SHOCKDECK™,0.3,579792.0,430591.0,- for installation in artificial grass
BP 19,14850.767796,False,flat_uplift,0.0,flat_uplift,912191.8,912191.8,0.589,,1394350.32,39106.64,33710.18,50053.05,200929.62596461736,77501.43,59676.1,,SHOCKDECK™,0.3,228155.0,159708.0,Classic Jump
BP 19 LF,16122.550995,False,flat_uplift,0.0,flat_uplift,990309.66,990309.66,0.589,,1513759.05,42455.64,36597.04,54339.47,218136.7445455155,84138.46,64786.61,,SHOCKDECK™,0.3,247693.0,173385.0,- for installation in grass/loose fills
BP 19 AG,15128.519965,False,flat_uplift,0.0,flat_uplift,929252.41,929252.41,0.5889,,1420428.68,39838.05,34340.66,50989.19,204687.58920225303,78950.93,60792.21,,SHOCKDECK™,0.3,232421.0,162695.0,- for installation in artificial grass
BP 21,32635.554403,False,flat_uplift,0.0,flat_uplift,2004602.41,2004602.41,0.5889,,3064177.97,85939.46,74080.38,109994.92,441556.2770504658,170314.56,131142.21,,SHOCKDECK™,0.3,466046.0,350969.0,Fearless
BP 21 LF,35488.581537,False,flat_uplift,0.0,flat_uplift,2179846.41,2179846.41,0.5889,,3332050.94,93452.36,80556.54,119610.77,480157.4916661794,185203.6,142606.77,,SHOCKDECK™,0.3,509877.0,381651.0,- for installation in grass/loose fills
BP 21 AG,33430.500266,False,flat_uplift,0.0,flat_uplift,2053431.07,2053431.07,0.5889,,3138816.06,88032.8,75884.85,112674.21,452311.8270064576,174463.13,134336.61,,SHOCKDECK™,0.3,478259.0,359518.0,- for installation in artificial grass
BP 22,21770.581375,False,flat_uplift,0.0,flat_uplift,1337233.6,1337233.6,0.5889,,2044057.07,57328.64,49417.66,73375.6,294554.11550433317,113613.73,87482.57,,SHOCKDECK™,0.3,334464.0,234125.0,Crouching Tiger
BP 22 LF,24373.845427,False,flat_uplift,0.0,flat_uplift,1497136.19,1497136.19,0.589,,2288479.6,64183.84,55326.89,82149.64,329776.0568504487,127199.34,97943.49,,SHOCKDECK™,0.3,374459.0,262121.0,- for installation in grass/loose fills
BP 22 AG,22673.392158,False,flat_uplift,0.0,flat_uplift,1392687.74,1392687.74,0.5889,,2128822.69,59706.02,51466.98,76418.43,306769.0686594066,118325.21,91110.41,,SHOCKDECK™,0.3,348334.0,243834.0,- for installation in artificial grass
BP 24,51998.888322,False,flat_uplift,0.0,flat_uplift,3193973.55,3193973.55,0.589,,4882216.71,136929.08,118033.76,175257.13,703540.5390911528,271365.64,208951.54,,SHOCKDECK™,0.3,728189.0,559206.0,Cliffhanger
BP 24 LF,55425.924207000004,False,flat_uplift,0.0,flat_uplift,3404475.39,3404475.39,0.589,,5203983.81,145953.52,125812.89,186807.62,749908.0433171527,289250.25,222722.69,,SHOCKDECK™,0.3,780839.0,596061.0,- for installation in grass/loose fills
BP 24 AG,52739.808738,False,flat_uplift,0.0,flat_uplift,3239483.74,3239483.74,0.5889,,4951782.29,138880.15,119715.6,177754.33,713565.1293413977,275232.26,211928.84,,SHOCKDECK™,0.3,739572.0,567174.0,- for installation in artificial grass
BP 25,20941.974218,False,flat_uplift,0.0,flat_uplift,1286337.33,1286337.33,0.5889,,1966258.49,55146.67,47536.79,70582.86,283343.13110173144,109289.49,84152.91,,SHOCKDECK™,0.3,321734.0,225214.0,Take 5
BP 25 LF,23143.720404,False,flat_uplift,0.0,flat_uplift,1421577.14,1421577.14,0.589,,2172982.2,60944.54,52534.59,78003.63,313132.56984988577,120779.71,93000.37,,SHOCKDECK™,0.3,355560.0,248892.0,- for installation in grass/loose fills
BP 25 AG,21459.167912,False,flat_uplift,0.0,flat_uplift,1318105.38,1318105.38,0.5889,,2014818.22,56508.6,48710.78,72326.01,290340.71782008745,111988.56,86231.19,,SHOCKDECK™,0.3,329680.0,230776.0,- for installation in artificial grass
BP 27,22071.580294,False,flat_uplift,0.0,flat_uplift,1355722.13,1355722.13,0.589,,2072318.11,58121.27,50100.91,74390.09,298626.605293495,115184.55,88692.1,,SHOCKDECK™,0.3,321420.0,237362.0,Pulse Zone
BP 27 LF,24281.416349,False,flat_uplift,0.0,flat_uplift,1491458.83,1491458.83,0.5889,,2279801.35,63940.44,55117.08,81838.12,328525.49928158044,126716.98,97572.07,,SHOCKDECK™,0.3,355369.0,261127.0,- for installation in grass/loose fills
BP 27 AG,22650.70333,False,flat_uplift,0.0,flat_uplift,1391294.11,1391294.11,0.5889,,2126692.43,59646.28,51415.48,76341.96,306462.09074511693,118206.81,91019.24,,SHOCKDECK™,0.3,330317.0,243590.0,- for installation in artificial grass
BP 30,39048.867793,False,flat_uplift,0.0,flat_uplift,2398533.01,2398533.01,0.5889,,3666329.03,102827.69,88638.14,131610.36,528327.8620855277,203783.6,156913.37,,SHOCKDECK™,0.3,546905.0,419939.0,Hunting H&L
BP 30 LF,42102.095938,False,flat_uplift,0.0,flat_uplift,2586074.14,2586074.14,0.5889,,3952999.04,110867.78,95568.75,141900.97,569637.7793629854,219717.43,169182.42,,SHOCKDECK™,0.3,593812.0,452774.0,- for installation in grass/loose fills
BP 30 AG,39905.650011,False,flat_uplift,0.0,flat_uplift,2451159.91,2451159.91,0.589,,3746773.01,105083.86,90582.98,134498.06,539920.0526685792,208254.88,160356.26,,SHOCKDECK™,0.3,560068.0,429153.0,- for installation in artificial grass
BP 31,26913.22741,False,flat_uplift,0.0,flat_uplift,1653114.88,1653114.88,0.5889,,2526904.17,70870.81,61091.1,90708.38,364133.67923297035,140451.56,108147.7,,SHOCKDECK™,0.3,378133.0,289430.0,Defying Gravity
BP 31 LF,28315.192409,False,flat_uplift,0.0,flat_uplift,1739229.02,1739229.02,0.589,,2658535.79,74562.62,64273.46,95433.57,383102.1465024152,147767.97,113781.34,,SHOCKDECK™,0.3,399672.0,304507.0,- for installation in grass/loose fills
BP 31 AG,27252.722947,False,flat_uplift,0.0,flat_uplift,1673968.02,1673968.02,0.589,,2558779.69,71764.81,61861.73,91852.62,368727.0249914597,142223.28,109511.93,,SHOCKDECK™,0.3,383349.0,293081.0,- for installation in artificial grass
BP 32,24756.207971,False,flat_uplift,0.0,flat_uplift,1520622.38,1520622.38,0.589,,2324379.92,65190.72,56194.82,83438.36,334949.3895699525,129194.76,99479.97,,SHOCKDECK™,0.3,344995.0,266233.0,Fast & Curious
BP 32 LF,26475.072666,False,flat_uplift,0.0,flat_uplift,1626201.72,1626201.72,0.589,,2485765.49,69717.02,60096.52,89231.62,358205.48278980353,138164.97,106387.03,,SHOCKDECK™,0.3,371402.0,284718.0,- for installation in grass/loose fills
BP 32 AG,25219.469205,False,flat_uplift,0.0,flat_uplift,1549077.68,1549077.68,0.5889,,2367875.88,66410.63,57246.39,84999.74,341217.27468876773,131612.38,101341.53,,SHOCKDECK™,0.3,352112.0,271215.0,- for installation in artificial grass
BP 33,40429.81773,False,flat_uplift,0.0,flat_uplift,2483356.32,2483356.32,0.5889,,3795987.52,106464.16,91772.8,136264.72,547011.9973523931,210990.34,162462.56,,SHOCKDECK™,0.3,585790.0,434790.0,Play Tag
BP 33 LF,44468.894049,False,flat_uplift,0.0,flat_uplift,2731452.07,2731452.07,0.589,,4175219.59,117100.29,100941.21,149878.03,601660.3566269758,232068.99,178693.13,,SHOCKDECK™,0.3,647843.0,478227.0,- for installation in grass/loose fills
BP 33 AG,41795.889747,False,flat_uplift,0.0,flat_uplift,2567265.78,2567265.78,0.589,,3924249.12,110061.45,94873.68,140868.93,565494.8356262818,218119.44,167951.97,,SHOCKDECK™,0.3,606777.0,449481.0,- for installation in artificial grass
BP 34,36876.691473,False,flat_uplift,0.0,flat_uplift,2265109.52,2265109.52,0.589,,3462381.69,97107.68,83707.46,124289.25,498938.50111091486,192447.71,148184.73,,SHOCKDECK™,0.3,531203.0,396579.0,Flex Forest
BP 34 LF,39682.574198,False,flat_uplift,0.0,flat_uplift,2437457.73,2437457.73,0.589,,3725828.24,104496.44,90076.61,133746.21,536901.8558801333,207090.72,159459.85,,SHOCKDECK™,0.3,574311.0,426754.0,- for installation in grass/loose fills
BP 34 AG,37455.814509,False,flat_uplift,0.0,flat_uplift,2300681.5,2300681.5,0.5889,,3516756.01,98632.69,85022.02,126241.13,506773.9865625368,195469.97,150511.87,,SHOCKDECK™,0.3,540100.0,402807.0,- for installation in artificial grass
