handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-k1-12a-02,K1-12A-02,3D Seashell,3D,K-3D animals,each,526.0,420.8,0.0239,dims_scaled,56981.31,57508.62,2.5,capped,101616.67,2855.86,2454.67,3651.37,15000,3144.32,2421.12
4soft-k1-12b-02,K1-12B-02,3D Seashell - small,3D,K-3D animals,each,404.0,323.2,0.0,flat_uplift,22507.77,19868.73,0.8,floored,40138.86,1128.07,969.6,1442.3,4376.510992000001,1688.08,1299.82
4soft-k1-13a-02,K1-13A-02,3D Seal swimming,3D,K-3D animals,each,1326.0,1060.8,0.1468,dims_scaled,86943.78,86943.78,1.1184,,155049.74,4357.56,3745.4,5571.37,15000,5645.18,4346.79
4soft-k1-13b-02,K1-13B-02,3D Seal chilling,3D,K-3D animals,each,1275.0,1020.0,0.0,flat_uplift,63140.61,62704.55,0.6,floored,112600.75,3164.56,2720.0,4046.06,13812.008700000006,5327.49,4102.17
4soft-k1-13c-58uv,K1-13C-58UV,3D Seal head,3D,K-3D animals,each,633.0,506.4,0.0,flat_uplift,31347.46,31130.96,0.6,floored,55902.97,1571.11,1350.4,2008.75,6857.256084000001,2644.94,2036.6
4soft-k1-14a-20,K1-14A-20,3D Beaver,3D,K-3D animals,each,1082.0,865.6,0.0367,dims_scaled,77966.06,77966.06,1.3281,,139039.47,3907.6,3358.66,4996.08,15000,4882.42,3759.46
4soft-k2-01a-20,K2-01A-20,3D Snake (set of 5 pcs),3D,K-3D animals,set,1570.0,1256.0,0.1966,dims_scaled,95921.5,95921.5,0.974,,171060.01,4807.52,4132.15,6146.66,15000,6407.94,4934.12
4soft-k2-01b-53uv,K2-01B-53UV,3D Snake (set of 5 pcs) - UV may green,3D,K-3D animals,set,1933.0,1546.4,0.0,flat_uplift,95726.12,95065.01,0.6,floored,170711.58,4797.72,4123.73,6134.14,20940.088484000014,8076.89,6219.21
4soft-k2-02a-07,K2-02A-07,3D Spider - cross,3D,K-3D animals,each,1100.0,880.0,0.2755,dims_scaled,78628.35,78628.35,1.3094,,140220.56,3940.8,3387.19,5038.52,15000,4938.69,3802.79
4soft-k2-02b-01,K2-02B-01,3D Spider - pattern,3D,K-3D animals,each,1113.0,890.4,0.0,flat_uplift,55118.04,54737.38,0.6,floored,98293.84,2762.48,2374.4,3531.97,12057.071124000002,4650.58,3580.95
4soft-k2-02c-07,K2-02C-07,3D Spider - coloured legs,3D,K-3D animals,each,1053.0,842.4,0.0,flat_uplift,52146.72,51786.58,0.6,floored,92994.98,2613.56,2246.4,3341.57,11407.094244,4399.88,3387.91
4soft-k2-03a-59uv,K2-03A-59UV,3D Fox,3D,K-3D animals,each,2257.0,1805.6,0.0,flat_uplift,111771.26,110999.34,0.6,floored,199325.41,5601.9,4814.93,7162.32,24449.963636000015,9430.7,7261.64
4soft-k2-04a-70uv,K2-04A-70UV,3D Wolf,3D,K-3D animals,each,2485.0,1988.0,0.0,flat_uplift,123062.29,122212.39,0.6,floored,219461.08,6167.79,5301.33,7885.85,26919.875780000002,10383.38,7995.2
4soft-k3-01a-20,K3-01A-20,3D Dog 1,3D,K-3D animals,each,2485.0,1988.0,0.0,flat_uplift,123062.29,122212.39,0.6,floored,219461.08,6167.79,5301.33,7885.85,26919.875780000002,10383.38,7995.2
4soft-k3-01b-20,K3-01B-20,3D Dog 2,3D,K-3D animals,each,2222.0,1777.6,0.0,flat_uplift,110037.99,109278.04,0.6,floored,196234.42,5515.03,4740.27,7051.25,24070.810456000007,9284.46,7149.03
4soft-k4-01a-20,K4-01A-20,3D Lizard,3D,K-3D animals,each,1593.0,1274.4,0.2362,dims_scaled,96767.76,96767.76,0.9626,,172569.17,4849.93,4168.61,6200.89,15000,6479.84,4989.48
4soft-k4-02a-20,K4-02A-20,3D Camel,3D,K-3D animals,each,2754.0,2203.2,0.225,dims_scaled,139485.54,139485.54,0.6364,,248749.21,6990.92,6008.82,8938.25,15000,10109.22,7784.1
4soft-k4-03a-53uv,K4-03A-53UV,3D Dragon,3D,K-3D animals,each,4433.0,3546.4,0.345,dims_scaled,201262.59,201262.59,0.4669,,358918.29,10087.14,8670.08,12896.93,15000,15357.91,11825.59
4soft-k4-03b-53uv,K4-03B-53UV,3D Head of dragon,3D,K-3D animals,each,641.0,512.8,0.0,flat_uplift,31743.63,31524.4,0.6,floored,56609.47,1590.97,1367.47,2034.14,6943.919668000002,2678.37,2062.34
4soft-k4-04a-20,K4-04A-20,3D Scarabaeus,3D,K-3D animals,each,787.0,629.6,0.1074,dims_scaled,67111.84,67111.84,1.7552,,119682.78,3363.6,2891.07,4300.54,15000,3960.22,3049.37
