handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-k1-11a-20,K1-11A-20,3D Carp,3D,K-3D animals,each,1815.0,1542.75,0.216,dims_scaled,97271.53,97271.53,0.6289,,173467.56,4875.34,4188.24,6224.89,4869.72,6518.4,5019.17
4soft-k1-12a-02,K1-12A-02,3D Seashell,3D,K-3D animals,each,526.0,447.1,0.0239,dims_scaled,41757.57,41757.57,1.4128,,74467.67,2092.93,1797.96,2672.28,538.83,1801.83,1387.41
4soft-k1-12b-02,K1-12B-02,3D Seashell - small,3D,K-3D animals,each,404.0,343.4,0.0,flat_uplift,23926.31,21120.94,0.8,floored,42668.59,1199.21,1030.2,1531.16,4652.338558000001,1794.47,1381.74
4soft-k1-13a-02,K1-13A-02,3D Seal swimming,3D,K-3D animals,each,1326.0,1127.1,0.1468,dims_scaled,76309.08,76309.08,0.7491,,136084.53,3824.68,3285.66,4883.4,3309.61,4737.39,3647.79
4soft-k1-13b-02,K1-13B-02,3D Seal chilling,3D,K-3D animals,each,1275.0,1083.75,0.0,flat_uplift,67120.02,66656.47,0.6,floored,119697.37,3364.12,2890.0,4295.35,14682.504112500006,5663.25,4360.7
4soft-k1-13c-58uv,K1-13C-58UV,3D Seal head,3D,K-3D animals,each,633.0,538.05,0.0,flat_uplift,33323.12,33092.98,0.6,floored,59426.23,1670.19,1434.8,2132.51,7289.431453500001,2811.64,2164.96
4soft-k1-14a-20,K1-14A-20,3D Beaver,3D,K-3D animals,each,1082.0,919.7,0.0367,dims_scaled,63843.98,63843.98,0.7934,,113855.1,3199.92,2748.94,4085.7,827.4,3678.33,2832.32
4soft-k2-01a-20,K2-01A-20,3D Snake (set of 5 pcs),3D,K-3D animals,set,1570.0,1334.5,0.1966,dims_scaled,87174.09,87174.09,0.6876,,155460.46,4369.25,3753.47,5578.71,4432.35,5660.5,4358.59
4soft-k2-01b-53uv,K2-01B-53UV,3D Snake (set of 5 pcs) - UV may green,3D,K-3D animals,set,1933.0,1643.05,0.0,flat_uplift,101759.21,101056.44,0.6,floored,181470.59,5100.27,4381.47,6512.08,22259.827803500004,8585.93,6611.17
4soft-k2-02a-07,K2-02A-07,3D Spider - cross,3D,K-3D animals,each,1100.0,935.0,0.2755,dims_scaled,70884.69,70884.69,0.9586,,126411.03,3552.81,3052.1,4536.27,6211.15,4276.52,3292.92
4soft-k2-02b-01,K2-02B-01,3D Spider - pattern,3D,K-3D animals,each,1113.0,946.05,0.0,flat_uplift,58591.83,58187.19,0.6,floored,104488.76,2936.68,2522.8,3749.58,12816.962413500005,4943.69,3806.64
4soft-k2-02c-07,K2-02C-07,3D Spider - coloured legs,3D,K-3D animals,each,1053.0,895.05,0.0,flat_uplift,55433.24,55050.41,0.6,floored,98855.94,2778.37,2386.8,3547.45,12126.021043500004,4677.18,3601.43
4soft-k2-03a-59uv,K2-03A-59UV,3D Fox,3D,K-3D animals,each,2257.0,1918.45,0.0,flat_uplift,118815.59,117995.03,0.6,floored,211887.8,5955.15,5115.87,7603.6,25990.9112015,10025.07,7719.3
4soft-k2-04a-70uv,K2-04A-70UV,3D Wolf,3D,K-3D animals,each,2485.0,2112.25,0.0,flat_uplift,129914.77,129914.77,0.589,,231681.34,6511.45,5593.77,8313.9,28616.4884075,11037.79,8499.1
4soft-k3-01a-20,K3-01A-20,3D Dog 1,3D,K-3D animals,each,2485.0,2112.25,0.0,flat_uplift,129914.77,129914.77,0.589,,231681.34,6511.45,5593.77,8313.9,28616.4884075,11037.79,8499.1
4soft-k3-01b-20,K3-01B-20,3D Dog 2,3D,K-3D animals,each,2222.0,1888.7,0.0,flat_uplift,116973.08,116165.23,0.6,floored,208601.99,5862.8,5036.53,7485.69,25587.86206900001,9869.6,7599.59
4soft-k4-01a-20,K4-01A-20,3D Lizard,3D,K-3D animals,each,1593.0,1354.05,0.2362,dims_scaled,89124.49,89124.49,0.7004,,158938.67,4467.0,3837.45,5703.52,5325.13,5826.21,4486.18
4soft-k4-02a-20,K4-02A-20,3D Camel,3D,K-3D animals,each,2754.0,2340.9,0.225,dims_scaled,134237.34,134237.34,0.4815,,239389.92,6728.1,5779.88,8590.52,5072.62,9659.08,7437.49
4soft-k4-03a-53uv,K4-03A-53UV,3D Dragon,3D,K-3D animals,each,4433.0,3768.05,0.345,dims_scaled,211488.93,203092.11,0.45,floored,377155.26,10600.02,9106.12,13534.23,7778.02,15509.1,11942.01
4soft-k4-03b-53uv,K4-03B-53UV,3D Head of dragon,3D,K-3D animals,each,641.0,544.85,0.0,flat_uplift,33744.26,33511.21,0.6,floored,60177.26,1691.29,1452.93,2159.46,7381.556969500001,2847.17,2192.32
4soft-k4-04a-20,K4-04A-20,3D Scarabaeus,3D,K-3D animals,each,787.0,668.95,0.1074,dims_scaled,54181.74,54181.74,1.0925,,96624.1,2715.64,2332.91,3467.36,2421.33,2857.41,2200.21
4soft-k4-05a-65uv,K4-05A-65UV,3D Elephant,3D,K-3D animals,each,1649.0,1401.65,0.3572,dims_scaled,94525.59,94525.59,0.7422,,168570.64,4737.71,4070.01,6049.17,8053.07,6285.1,4839.52
4soft-k5-01a-01,K5-01A-01,3D Ladybird,3D,K-3D animals,each,936.0,795.6,0.0766,dims_scaled,59192.27,59192.27,0.9221,,105559.55,2966.77,2548.65,3788.01,1726.95,3283.12,2528.0
4soft-k5-01b-01,K5-01B-01,"3D Ladybird ""PLAY"" with holes",3D,K-3D animals,each,1024.0,870.4,0.0,flat_uplift,53906.59,53534.29,0.6,floored,96133.42,2701.85,2321.07,3449.75,11792.066048,4548.37,3502.24
4soft-k5-01c-01,K5-01C-01,3D Ladybird MINI,3D,K-3D animals,each,630.0,535.5,0.0,flat_uplift,33165.19,32936.14,0.6,floored,59144.59,1662.27,1428.0,2122.41,7254.884385000001,2798.31,2154.7
4soft-k5-02a-50uv,K5-02A-50UV,3D Caterpillar - 2 (SET with numbers 1-6) - UV colours,3D,K-3D animals,each,2137.0,1816.45,0.0,flat_uplift,112498.42,111721.47,0.6,floored,200622.18,5638.53,4843.87,7199.34,24609.028461500013,9492.05,7308.88
4soft-k5-02a-70uv,K5-02A-70UV,3D Caterpillar - 1 (SET with numbers 1-6) - UV colours,3D,K-3D animals,each,2137.0,1816.45,0.1125,dims_scaled,112498.42,107119.45,0.6,floored,200622.18,5638.53,4843.87,7199.34,2536.31,7355.09,5663.42
4soft-k5-02b-03,K5-02B-03,3D Caterpillar head - earth yellow,3D,K-3D animals,each,503.0,427.55,0.0,flat_uplift,29789.44,26296.63,0.8,floored,53124.5,1493.07,1282.65,1906.38,5792.3918185,2234.21,1720.34
4soft-k5-02b-50uv,K5-02B-50UV,3D Caterpillar head - UV colours,3D,K-3D animals,each,572.0,486.2,0.0,flat_uplift,33875.87,29903.92,0.8,floored,60411.97,1697.89,1458.6,2167.89,6586.974394000001,2540.69,1956.33
4soft-k5-02c-70uv,K5-02C-70UV,3D Caterpillar - 3 (SET with numbers 1-10) - UV colours,3D,K-3D animals,each,3084.0,2621.4,0.0,flat_uplift,161230.24,161230.24,0.5889,,287527.26,8081.01,6942.12,10317.93,35514.38641800001,13698.41,10547.77
4soft-k5-02d-70uv,K5-02D-70UV,3D Caterpillar (SET without numbers 7 pcs) - UV colours,3D,K-3D animals,each,1858.0,1579.3,0.0,flat_uplift,97810.98,97135.47,0.6,floored,174429.58,4902.38,4211.47,6259.41,21396.151091,8252.8,6354.66
4soft-k5-02e-50uv,K5-02E-50UV,3D Caterpillar - 2 (SET with letters A-F) - UV colours,3D,K-3D animals,each,2137.0,1816.45,0.0,flat_uplift,112498.42,111721.47,0.6,floored,200622.18,5638.53,4843.87,7199.34,24609.028461500013,9492.05,7308.88
4soft-k5-02e-70uv,K5-02E-70UV,3D Caterpillar - 1 (SET with letters A-F) - UV colours,3D,K-3D animals,each,2137.0,1816.45,0.0,flat_uplift,112498.42,111721.47,0.6,floored,200622.18,5638.53,4843.87,7199.34,24609.028461500013,9492.05,7308.88
