code,name,list_eur,section,dimension,product_group,unit
L1-01A-05,3D Stone (brown) with number 1 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01B-05,3D Stone (brown) with number 2 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01C-05,3D Stone (brown) with number 3 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01D-05,3D Stone (brown) with number 4 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01E-05,3D Stone (brown) with number 5 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01F-05,3D Stone (brown) with number 6 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01G-05,3D Stone (brown) with number 7 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01H-05,3D Stone (brown) with number 8 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01I-05,3D Stone (brown) with number 9 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01J-05,3D Stone (brown) with number 0 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01K-05,3D Stone (brown) with number 10 (beige),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01Z-00,3D Stone with number 0-10 (1 pc) - standard colours,147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-01Z-50UV,3D Stone with number 0-10 (1 pc) - UV colours,179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-02A-05,Set of 3D Stones with number 1-5 (5 pcs) - brown,721.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-02B-05,Set of 3D Stones with number 1-10 (10 pcs) - brown,1421.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-00,3D Stone (1 pc) - standard colours,131.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-02,3D Stone (1 pc) - beige,131.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-05,3D Stone (1 pc) - brown,131.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-50UV,3D Stone (1 pc) - UV colours,154.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-58UV,3D Stone (1 pc) - UV light grey,154.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-03A-65UV,3D Stone (1 pc) - UV middle grey,154.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04A-01,3D Stone (red) with letter A (black),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04A-05,3D Stone (brown) with letter A (teal),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04B-57UV,3D Stone (UV rainbow blue) with letter B (black),179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04C-53UV,3D Stone (UV may green) with letter C (black),179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04D-52UV,3D Stone (UV yellow) with letter D (black),179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04E-01,3D Stone (red) with letter E (black),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04E-05,3D Stone (brown) with letter E (teal),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04F-57UV,3D Stone (UV rainbow blue) with letter F (black),179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04G-53UV,3D Stone (UV may green) with letter G (black),179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04S-05,3D Stone (brown) with letter S (teal),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04V-05,3D Stone (brown) with letter V (teal),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04W-05,3D Stone (brown) with letter W (teal),147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04Z-00,3D Stone with letter A-Z (1 pc) - standard colours,147.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-04Z-50UV,3D Stone with letter A-Z - UV colours,179.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-05A-05,Set of 3D Stone (brown) with letter A-Z (teal) (26 pcs),3650.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-05A-50UV,Set of 3D Stones with letter A-Z (26 pcs) - other UV colours,4080.0,3D Products/L-3D nature/,3D,L-3D nature,each
L1-06A-00,3D Stone with graphics (1 pc) - standard colours,154.0,3D Products/L-3D nature/,3D,L-3D nature,each
L2-01A-03,3D Sun (set of 13 pcs),1194.0,3D Products/L-3D nature/,3D,L-3D nature,set
L2-02A-57UV,3D Cloud - UV rainbow blue,1352.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-01A-04,3D Ant hill - small - signal green,1614.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-01A-20,"3D Ant hill - small - beige, brown",1614.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02A-20,3D Mushroom-boletus L - without anchor,650.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02B-20,3D Mushroom-toadstool L - without anchor,861.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02C-20,3D Mushroom MINI-boletus - without anchor,388.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02D-55UV,3D Mushroom MINI-toadstool - without anchor,460.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02E-20,3D Mushroom-boletus M - without anchor,615.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-02F-55UV,3D Mushroom-toadstool M - without anchor,811.0,3D Products/L-3D nature/,3D,L-3D nature,each
L3-03A-20,3D Mushroom half ball,642.0,3D Products/L-3D nature/,3D,L-3D nature,each
L4-01A-70UV,3D Coral reef (with holes),1775.0,3D Products/L-3D nature/,3D,L-3D nature,each
L4-02A-20,3D Bee hive,1691.0,3D Products/L-3D nature/,3D,L-3D nature,each
L4-03A-55UV,3D Snowman,2253.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-00,3D Flower - standard colours,2545.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-09,3D Flower - rose,2545.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-50UV,3D Flower - UV colours,2937.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-51UV,3D Flower - sky blue,2851.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-52UV,3D Flower - yellow,2851.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-59UV,3D Flower - orange,2851.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01A-70UV,3D Flower,2937.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01B-00,3D Flower with numbers 1-8 - standard colours,2752.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01B-50UV,3D Flower with numbers 1-8 - UV colours,3082.0,3D Products/L-3D nature/,3D,L-3D nature,each
L5-01B-52UV,3D Flower with numbers 1-8 - UV yellow,3082.0,3D Products/L-3D nature/,3D,L-3D nature,each
M1-01A-00,"3D EPDM Seater - dia. 40 cm, h. 30 cm - standard colours",419.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-01,"3D EPDM Seater - dia. 40 cm, h. 30 cm - red",419.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-03,"3D EPDM Seater - dia. 40 cm, h. 30 cm - earth yellow",419.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-06,"3D EPDM Seater - dia. 40 cm, h. 30 cm - capri blue",419.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-09,"3D EPDM Seater - dia. 40 cm, h. 30 cm - rose",419.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-50UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV colours",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-52UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV yellow",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-53UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV may green",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-56UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV teal",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-57UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV rainbow blue",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01A-59UV,"3D EPDM Seater - dia. 40 cm, h. 30 cm - UV orange",455.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-00,"3D EPDM Seater - dia. 40 cm, h. 40 cm - standard colours",446.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-01,"3D EPDM Seater - dia. 40 cm, h. 40 cm - red",446.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-03,"3D EPDM Seater - dia. 40 cm, h. 40 cm - earth yellow",446.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-06,"3D EPDM Seater - dia. 40 cm, h. 40 cm - capri blue",446.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-09,"3D EPDM Seater - dia. 40 cm, h. 40 cm - rose",446.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-50UV,"3D EPDM Seater - dia. 40 cm, h. 40 cm - UV colours",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-52UV,"3D EPDM Seater - dia. 40 cm, h. 40cm - UV yellow",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-53UV,"3D EPDM Seater - dia. 40 cm, h. 40 cm - UV may green",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-56UV,"3D EPDM Seater - dia. 40 cm, h. 40 cm - UV teal",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-57UV,"3D EPDM Seater - dia. 40 cm, h. 40 cm - UV rainbow blue",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01B-59UV,"3D EPDM Seater - dia. 40 cm, h. 40 cm - UV orange",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-00,"3D EPDM Seater - dia. 40 cm, h. 50 cm - standard colours",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-01,"3D EPDM Seater - dia. 40 cm, h. 50 cm - red",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-03,"3D EPDM Seater - dia. 40 cm, h. 50 cm - earth yellow",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-06,"3D EPDM Seater - dia. 40 cm, h. 50 cm - capri blue",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-09,"3D EPDM Seater - dia. 40 cm, h. 50 cm - rose",491.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-50UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV colours",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-52UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV yellow",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-53UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV may green",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-56UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV teal",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-57UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV rainbow blue",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-01C-59UV,"3D EPDM Seater - dia. 40 cm, h. 50 cm - UV orange",556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-00,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - standard colours",445.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-01,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - red",445.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-03,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - earth yellow",445.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-06,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - capri blue",445.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-09,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - rose",445.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-50UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV colours",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-52UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV yellow",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-53UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV may green",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-56UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV teal",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-57UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV rainbow blue",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02A-59UV,"3D EPDM Seater with smile - dia. 40 cm, h. 30 cm - UV orange",490.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-00,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - standard colours",486.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
