row,sku,description,family,family_discount,group,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,size_label,options_flat,variant_sku,variant_title,recommended_nok,net_nok,unmapped,error
44,JS27 G,"Jumpstone™ 27 for grass | ø 27 cm. incl mounting bracket for 21,5 cm depth",Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-27,Jumpstone 27,27,Jumpstone 27,Surface=grass:Grass,JS27 G,Grass,16005.0,11203.5,,
45,JS27 LF,Jumpstone™ 27 for loose fills | ø 27 cm. incl mounting bracket for 30 cm depth,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-27,Jumpstone 27,27,Jumpstone 27,Surface=loose_fills:Loose fills,JS27 LF,Loose fills,16005.0,11203.5,,
46,JS50,Jumpstone™ 50 for wet pour surfaces | ø 50 cm,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-50,Jumpstone 50,50,Jumpstone 50,Surface=wet_pour:Wet pour,JS50,Wet pour,17618.0,12332.6,,
47,JS50 AG,Jumpstone™ 50 for artificial grass | ø 50 cm. incl. PETG  mounting ring,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-50,Jumpstone 50,50,Jumpstone 50,Surface=artificial_grass:Artificial grass,JS50 AG,Artificial grass,20810.0,14567.0,,
48,JS50 G,"Jumpstone™ 50 for grass | ø 50 cm. incl mounting bracket for 21,5 cm depth",Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-50,Jumpstone 50,50,Jumpstone 50,Surface=grass:Grass,JS50 G,Grass,20810.0,14567.0,,
49,JS50 LF,Jumpstone™ 50 for loose fills | ø 50 cm. incl mounting bracket for 30 cm depth,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-50,Jumpstone 50,50,Jumpstone 50,Surface=loose_fills:Loose fills,JS50 LF,Loose fills,20810.0,14567.0,,
50,JS3,Jumpstone™ obstacle cource for wet pour surfaces,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-3,Jumpstone 3,3,Jumpstone 3,Surface=wet_pour:Wet pour,JS3,Wet pour,34595.0,24216.5,,
51,JS3 AG,Jumpstone™ obstacle cource for artificial grass | incl. PETG  mounting ring,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-3,Jumpstone 3,3,Jumpstone 3,Surface=artificial_grass:Artificial grass,JS3 AG,Artificial grass,39043.0,27330.1,,
52,JS3 G,"Jumpstone™ obstacle cource for grass | incl mounting bracket for 21,5 cm depth",Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-3,Jumpstone 3,3,Jumpstone 3,Surface=grass:Grass,JS3 G,Grass,42256.0,29579.2,,
53,JS3 LF,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-3,Jumpstone 3,3,Jumpstone 3,Surface=loose_fills:Loose fills,JS3 LF,Loose fills,42256.0,29579.2,,
54,JS5,Jumpstone™ obstacle cource for wet pour surfaces (5),Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-5,Jumpstone 5,5,Jumpstone 5,Surface=wet_pour:Wet pour,JS5,Wet pour,51573.0,36101.1,,
55,JS5 AG,Jumpstone™ obstacle cource for artificial grass | incl. PETG  mounting ring,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-5,Jumpstone 5,5,Jumpstone 5,Surface=artificial_grass:Artificial grass,JS5 AG,Artificial grass,58528.0,40969.6,,
56,JS5 G,"Jumpstone™ obstacle cource for grass | incl mounting bracket for 21,5 cm depth",Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-5,Jumpstone 5,5,Jumpstone 5,Surface=grass:Grass,JS5 G,Grass,62745.0,43921.5,,
57,JS5 LF,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth,Natural rubber jump pads with a rough surface.,0.3,A-equipment,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-5,Jumpstone 5,5,Jumpstone 5,Surface=loose_fills:Loose fills,JS5 LF,Loose fills,62745.0,43921.5,,
63,BB216R,BalanceBuddy™ 216 straight | Length 216 cm. for installation in wet pour surfaces and artificial grass.,"Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=216cm:216 cm|Style=straight_wp:Straight (wet pour),BB216R,216 cm / Straight (wet pour),20554.0,14387.8,,
64,BB216R EXT,"BalanceBuddy™ 216 straight, extended | Length 216 cm. for installation in grass and loose fills.","Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=216cm:216 cm|Style=straight_lf:Straight (loose fills),BB216R EXT,216 cm / Straight (loose fills),22544.0,15780.8,,
65,BB216S,BalanceBuddy™ 216 slanted | Length 216 cm. for installation in wet pour surfaces and artificial grass.,"Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=216cm:216 cm|Style=slanted_wp:Slanted (wet pour),BB216S,216 cm / Slanted (wet pour),20554.0,14387.8,,
66,BB316R,BalanceBuddy™ 316 straight | Length 316 cm. for installation in wet pour surfaces and artificial grass.,"Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=316cm:316 cm|Style=straight_wp:Straight (wet pour),BB316R,316 cm / Straight (wet pour),26970.0,18879.0,,
67,BB316R EXT,"BalanceBuddy™ 316 straight, extended | Length 316 cm. for installation in grass and loose fills.","Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=316cm:316 cm|Style=straight_lf:Straight (loose fills),BB316R EXT,316 cm / Straight (loose fills),28960.0,20272.0,,
68,BB316S,BalanceBuddy™ 316 slanted | Length 316 cm. for installation in wet pour surfaces and artificial grass.,"Balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,,Length=316cm:316 cm|Style=slanted_wp:Slanted (wet pour),BB316S,316 cm / Slanted (wet pour),26970.0,18879.0,,
74,BB316W,BalanceBuddy Wave™  | Balance beam,"Zig-Zag balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-wave,Balancebuddy Wave,rampline-balancebuddy-wave,Balancebuddy Wave,,,Surface=wet_pour:Wet pour,BB316W,Wet pour,33207.0,23244.9,,
