row,sku,description,family,family_discount,group,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,size_label,options_flat,variant_sku,variant_title,recommended_nok,net_nok,unmapped,error
186,BP 17,Junior Power,SHOCKDECK™,0.3,B-park,rampline-junior-power,Junior Power,rampline-junior-power,Junior Power,,Junior Power,Surface=wet_pour:Wet pour,BP 17,Wet pour,199400.0,139580.0,,
187,BP 17 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-junior-power,Junior Power,rampline-junior-power,Junior Power,,Junior Power,Surface=loose_fills:Loose fills,BP 17 LF,Loose fills,219398.0,153579.0,,
188,BP 17 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-junior-power,Junior Power,rampline-junior-power,Junior Power,,Junior Power,Surface=artificial_grass:Artificial grass,BP 17 AG,Artificial grass,206396.0,144477.0,,
190,BP 18,Never Stop Playing,SHOCKDECK™,0.3,B-park,rampline-never-stop-playing,Never Stop Playing,rampline-never-stop-playing,Never Stop Playing,,Never Stop Playing,Surface=wet_pour:Wet pour,BP 18,Wet pour,574454.0,426855.0,,
191,BP 18 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-never-stop-playing,Never Stop Playing,rampline-never-stop-playing,Never Stop Playing,,Never Stop Playing,Surface=loose_fills:Loose fills,BP 18 LF,Loose fills,608347.0,450580.0,,
192,BP 18 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-never-stop-playing,Never Stop Playing,rampline-never-stop-playing,Never Stop Playing,,Never Stop Playing,Surface=artificial_grass:Artificial grass,BP 18 AG,Artificial grass,579792.0,430591.0,,
194,BP 19,Classic Jump,SHOCKDECK™,0.3,B-park,rampline-classic-jump,Classic Jump,rampline-classic-jump,Classic Jump,,Classic Jump,Surface=wet_pour:Wet pour,BP 19,Wet pour,228155.0,159708.0,,
195,BP 19 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-classic-jump,Classic Jump,rampline-classic-jump,Classic Jump,,Classic Jump,Surface=loose_fills:Loose fills,BP 19 LF,Loose fills,247693.0,173385.0,,
196,BP 19 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-classic-jump,Classic Jump,rampline-classic-jump,Classic Jump,,Classic Jump,Surface=artificial_grass:Artificial grass,BP 19 AG,Artificial grass,232421.0,162695.0,,
198,BP 21,Fearless,SHOCKDECK™,0.3,B-park,rampline-fearless,Fearless,rampline-fearless,Fearless,,Fearless,Surface=wet_pour:Wet pour,BP 21,Wet pour,466046.0,350969.0,,
199,BP 21 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-fearless,Fearless,rampline-fearless,Fearless,,Fearless,Surface=loose_fills:Loose fills,BP 21 LF,Loose fills,509877.0,381651.0,,
200,BP 21 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-fearless,Fearless,rampline-fearless,Fearless,,Fearless,Surface=artificial_grass:Artificial grass,BP 21 AG,Artificial grass,478259.0,359518.0,,
202,BP 22,Crouching Tiger,SHOCKDECK™,0.3,B-park,rampline-crouching-tiger,Crouching Tiger,rampline-crouching-tiger,Crouching Tiger,,Crouching Tiger,Surface=wet_pour:Wet pour,BP 22,Wet pour,334464.0,234125.0,,
203,BP 22 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-crouching-tiger,Crouching Tiger,rampline-crouching-tiger,Crouching Tiger,,Crouching Tiger,Surface=loose_fills:Loose fills,BP 22 LF,Loose fills,374459.0,262121.0,,
204,BP 22 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-crouching-tiger,Crouching Tiger,rampline-crouching-tiger,Crouching Tiger,,Crouching Tiger,Surface=artificial_grass:Artificial grass,BP 22 AG,Artificial grass,348334.0,243834.0,,
206,BP 24,Cliffhanger,SHOCKDECK™,0.3,B-park,rampline-cliffhanger,Cliffhanger,rampline-cliffhanger,Cliffhanger,,Cliffhanger,Surface=wet_pour:Wet pour,BP 24,Wet pour,728189.0,559206.0,,
207,BP 24 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-cliffhanger,Cliffhanger,rampline-cliffhanger,Cliffhanger,,Cliffhanger,Surface=loose_fills:Loose fills,BP 24 LF,Loose fills,780839.0,596061.0,,
208,BP 24 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-cliffhanger,Cliffhanger,rampline-cliffhanger,Cliffhanger,,Cliffhanger,Surface=artificial_grass:Artificial grass,BP 24 AG,Artificial grass,739572.0,567174.0,,
210,BP 25,Take 5,SHOCKDECK™,0.3,B-park,rampline-take-5,Take 5,rampline-take-5,Take 5,,Take 5,Surface=wet_pour:Wet pour,BP 25,Wet pour,321734.0,225214.0,,
211,BP 25 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-take-5,Take 5,rampline-take-5,Take 5,,Take 5,Surface=loose_fills:Loose fills,BP 25 LF,Loose fills,355560.0,248892.0,,
212,BP 25 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-take-5,Take 5,rampline-take-5,Take 5,,Take 5,Surface=artificial_grass:Artificial grass,BP 25 AG,Artificial grass,329680.0,230776.0,,
214,BP 27,Pulse Zone,SHOCKDECK™,0.3,B-park,rampline-pulse-zone,Pulse Zone,rampline-pulse-zone,Pulse Zone,,Pulse Zone,Surface=wet_pour:Wet pour,BP 27,Wet pour,321420.0,237362.0,,
215,BP 27 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-pulse-zone,Pulse Zone,rampline-pulse-zone,Pulse Zone,,Pulse Zone,Surface=loose_fills:Loose fills,BP 27 LF,Loose fills,355369.0,261127.0,,
216,BP 27 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-pulse-zone,Pulse Zone,rampline-pulse-zone,Pulse Zone,,Pulse Zone,Surface=artificial_grass:Artificial grass,BP 27 AG,Artificial grass,330317.0,243590.0,,
218,BP 30,Hunting H&L,SHOCKDECK™,0.3,B-park,rampline-hunting-high-and-low,Hunting High and Low,rampline-hunting-high-and-low,Hunting High and Low,,Hunting High and Low,Surface=wet_pour:Wet pour,BP 30,Wet pour,546905.0,419939.0,,
219,BP 30 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-hunting-high-and-low,Hunting High and Low,rampline-hunting-high-and-low,Hunting High and Low,,Hunting High and Low,Surface=loose_fills:Loose fills,BP 30 LF,Loose fills,593812.0,452774.0,,
220,BP 30 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-hunting-high-and-low,Hunting High and Low,rampline-hunting-high-and-low,Hunting High and Low,,Hunting High and Low,Surface=artificial_grass:Artificial grass,BP 30 AG,Artificial grass,560068.0,429153.0,,
222,BP 31,Defying Gravity,SHOCKDECK™,0.3,B-park,rampline-defying-gravity,Defying Gravity,rampline-defying-gravity,Defying Gravity,,Defying Gravity,Surface=wet_pour:Wet pour,BP 31,Wet pour,378133.0,289430.0,,
223,BP 31 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-defying-gravity,Defying Gravity,rampline-defying-gravity,Defying Gravity,,Defying Gravity,Surface=loose_fills:Loose fills,BP 31 LF,Loose fills,399672.0,304507.0,,
224,BP 31 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-defying-gravity,Defying Gravity,rampline-defying-gravity,Defying Gravity,,Defying Gravity,Surface=artificial_grass:Artificial grass,BP 31 AG,Artificial grass,383349.0,293081.0,,
226,BP 32,Fast & Curious,SHOCKDECK™,0.3,B-park,rampline-fast-and-curious,Fast and Curious,rampline-fast-and-curious,Fast and Curious,,Fast and Curious,Surface=wet_pour:Wet pour,BP 32,Wet pour,344995.0,266233.0,,
227,BP 32 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-fast-and-curious,Fast and Curious,rampline-fast-and-curious,Fast and Curious,,Fast and Curious,Surface=loose_fills:Loose fills,BP 32 LF,Loose fills,371402.0,284718.0,,
228,BP 32 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-fast-and-curious,Fast and Curious,rampline-fast-and-curious,Fast and Curious,,Fast and Curious,Surface=artificial_grass:Artificial grass,BP 32 AG,Artificial grass,352112.0,271215.0,,
230,BP 33,Play Tag,SHOCKDECK™,0.3,B-park,rampline-play-tag,Play Tag,rampline-play-tag,Play Tag,,Play Tag,Surface=wet_pour:Wet pour,BP 33,Wet pour,585790.0,434790.0,,
231,BP 33 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-play-tag,Play Tag,rampline-play-tag,Play Tag,,Play Tag,Surface=loose_fills:Loose fills,BP 33 LF,Loose fills,647843.0,478227.0,,
232,BP 33 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-play-tag,Play Tag,rampline-play-tag,Play Tag,,Play Tag,Surface=artificial_grass:Artificial grass,BP 33 AG,Artificial grass,606777.0,449481.0,,
234,BP 34,Flex Forest,SHOCKDECK™,0.3,B-park,rampline-flex-forest,Flex Forest,rampline-flex-forest,Flex Forest,,Flex Forest,Surface=wet_pour:Wet pour,BP 34,Wet pour,531203.0,396579.0,,
235,BP 34 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-flex-forest,Flex Forest,rampline-flex-forest,Flex Forest,,Flex Forest,Surface=loose_fills:Loose fills,BP 34 LF,Loose fills,574311.0,426754.0,,
236,BP 34 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-flex-forest,Flex Forest,rampline-flex-forest,Flex Forest,,Flex Forest,Surface=artificial_grass:Artificial grass,BP 34 AG,Artificial grass,540100.0,402807.0,,
