item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,note
NT3604,1795.0,True,exact,0.483,dims_scaled,129866.02,129866.02,0.8691,,216443.37,6580.53,5591.67,15000,17035.21,7154.79,
NT3605,3330.0,True,exact,1.809,dims_scaled,206920.48,206920.48,0.6053,,344867.47,10485.0,8909.42,15000,29037.46,12195.73,
NT3606,6250.0,True,exact,4.5529,dims_scaled,365336.97,365336.97,0.5101,,608894.95,18512.23,15730.39,24219.11,53712.92,22559.43,
NT3610,1290.0,True,exact,0.2566,dims_scaled,104515.86,104515.86,1.0931,,174193.1,5295.99,4500.16,15000,13086.58,5496.36,
NT3611,2070.0,True,exact,0.2368,dims_scaled,143670.56,143670.56,0.7931,,239450.93,7280.02,6186.05,15000,19185.45,8057.89,
NT3612,1660.0,True,exact,0.3119,dims_scaled,123089.25,123089.25,0.9156,,205148.75,6237.14,5299.88,15000,15979.63,6711.45,
NT3613,3100.0,True,exact,0.677,dims_scaled,195374.86,195374.86,0.6282,,325624.77,9899.97,8412.29,15000,27239.07,11440.41,
NT3614,5800.0,True,exact,1.0534,dims_scaled,330910.39,330910.39,0.4739,,551517.32,16767.78,14248.07,15000,48350.53,20307.22,
NT3615,2880.0,True,exact,0.8049,dims_scaled,184331.22,184331.22,0.6535,,307218.7,9340.37,7936.79,15000,25518.88,10717.93,
NT3616,3980.0,True,exact,1.1448,dims_scaled,239549.4,239549.4,0.5549,,399249.0,12138.36,10314.33,15000,34119.84,14330.33,
NT3617,38020.0,True,exact,35.5954,dims_scaled,2172165.56,2172165.56,0.476,,3620275.93,110067.22,93527.36,189349.37,335150.4,140763.17,
NT3617S2,21700.0,False,flat_uplift,0.0,flat_uplift,1133956.72,1133956.72,0.35,,1889927.87,57459.46,48825.0,0.0,0.0,0.0,
NT3620,1984.0,True,exact,2.2185,dims_scaled,139353.51,139353.51,0.8146,,232255.85,7061.27,6000.17,15000,18513.01,7775.46,
NT3627,10990.0,True,exact,2.9889,dims_scaled,592594.64,592594.64,0.393,,987657.73,30027.75,25515.47,15899.42,89111.31,37426.75,
NT3636,2990.0,True,exact,1.269,dims_scaled,189853.04,189853.04,0.6404,,316421.73,9620.17,8174.54,15000,26378.98,11079.17,
NT3637,7800.0,True,exact,1.051,dims_scaled,437789.74,431307.07,0.45,floored,729649.57,22183.53,18850.0,15000,63988.64,26875.23,
NT3638,3990.0,True,exact,2.7985,dims_scaled,240051.39,240051.39,0.5543,,400085.65,12163.8,10335.94,15000,34198.04,14363.17,
NT3641,987.0,True,exact,0.0895,dims_scaled,89305.76,89305.76,1.3375,,148842.93,4525.27,3845.26,15000,10717.41,4501.31,
NT3652,839.0,True,exact,0.5991,dims_scaled,81876.41,81876.41,1.5211,,136460.68,4148.81,3525.37,15000,9560.19,4015.28,
NT3653,1398.0,True,exact,0.1739,dims_scaled,109937.28,109937.28,1.0316,,183228.8,5570.7,4733.59,15000,13931.04,5851.04,
NT3655,2190.0,True,exact,0.4216,dims_scaled,149694.37,149694.37,0.7659,,249490.62,7585.26,6445.42,15000,20123.73,8451.97,
NT3656,530.0,True,exact,0.1533,dims_scaled,57442.97,66365.12,1.8,capped,95738.28,2910.73,2473.33,15000,7144.1,3000.52,
NT3660,606.0,True,exact,0.2997,dims_scaled,65680.07,70180.19,1.8,capped,109466.78,3328.12,2828.0,15000,7738.35,3250.11,
NT3661,4902.0,True,exact,0.7121,dims_scaled,285832.27,285832.27,0.5064,,476387.12,14483.59,12307.14,15000,41329.01,17358.19,
NT3681,3245.0,True,exact,3.6233,dims_scaled,208141.58,208141.58,0.6571,,346902.63,10546.88,8961.99,19274.11,29227.66,12275.62,
NT3683,182.0,True,exact,0.0128,dims_scaled,24657.12,48896.1,2.5,capped,41095.2,1249.42,1061.67,15000,4423.07,1857.69,
NT3684,348.0,True,exact,0.0178,dims_scaled,47146.59,57229.02,2.5,capped,78577.65,2389.0,2030.0,15000,5721.03,2402.83,
