handle,item_code,article_number,floored,exw_eur,old_landed_thb,new_landed_thb,old_retail_thb,new_retail_thb,thb_delta_pct,old_retail_usd,new_retail_usd,old_retail_eur,new_retail_eur,old_retail_sgd,new_retail_sgd
eurotramp-playpro-rubber-protection-lip-for-kids-tramp-xl-e97548,E97548,,False,568.75,31411.1,35338.06,40834.43,58171.88,42.5,1235.64,1645.11,1052.77,1401.64,1572.13,2093.1
eurotramp-playpro-rubber-protection-ring-for-kids-tramp-loop-e97047,E97047,,False,308.07,17249.09,19141.27,22423.82,31509.47,40.5,678.54,891.09,578.12,759.21,863.32,1133.75
eurotramp-plug-in-connector-bouncecloud-e93001,E93001,,True,13.46,1243.75,836.31,1616.87,1616.87,0.0,48.93,48.93,41.69,41.69,62.25,62.25
eurotramp-roller-stand,ET-E51110,E51110,False,192.54,10972.66,11963.06,14264.46,19693.04,38.1,431.64,556.92,367.76,474.5,549.18,708.58
eurotramp-rubber-protection-bar-kids-tramp-150x150-cm-e97022,E97022,,False,28.66,2069.52,1780.73,2690.38,2931.35,9.0,81.41,82.9,69.36,70.63,103.58,105.47
eurotramp-rubber-protection-bar-kids-tramp-xl-200x200-cm-e97522,E97522,,False,55.39,3521.69,3441.54,4578.19,5665.3,23.7,138.53,160.22,118.03,136.5,176.26,203.85
eurotramp-rubber-protection-bars-kids-tramp-xl-200x200cm-4-sides-e97502,E97502,,False,215.05,12195.56,13361.67,15854.23,21995.36,38.7,479.75,622.03,408.74,529.97,610.39,791.42
eurotramp-rubber-protection-ring,ET-E97547,,False,432.93,24032.38,26899.18,31242.09,44280.18,41.7,945.38,1252.25,805.46,1066.92,1202.82,1593.26
eurotramp-rubber-protections-bars-kids-tramp-150x150cm-4-pieces-e97002,E97002,,False,111.23,6555.31,6911.04,8521.91,11376.63,33.5,257.87,321.73,219.71,274.12,328.09,409.35
eurotramp-run-up-track-dmt,ET-23005,23005,False,1689.8,92314.63,104992.09,120009.02,172833.14,44.0,3631.44,4887.75,3094.0,4164.37,4620.35,6218.77
eurotramp-safety-platforms-and-safety-mats-integral,ET-29000,29000,False,1697.07,92709.6,105443.8,120522.47,173576.72,44.0,3646.98,4908.77,3107.23,4182.29,4640.12,6245.52
eurotramp-safety-platforms-and-safety-mats-universal,ET-27300,27300,False,1503.3,82182.6,93404.32,106837.38,153757.88,43.9,3232.87,4348.29,2754.41,3704.76,4113.24,5532.42
eurotramp-safety-platforms-universal-freestyle,ET-27300F,27300F,False,1864.95,101830.04,115874.66,132379.06,190747.52,44.1,4005.76,5394.37,3412.91,4596.01,5096.6,6863.35
eurotramp-short-leaf-spring-connecting-cable-e33394,E33394,,True,4.93,780.34,306.31,1014.44,1014.44,0.0,30.7,30.7,26.15,26.15,39.06,39.06
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97302,E97302,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97303,E97303,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97305,E97305,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97306,E97306,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97402,E97402,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97403,E97403,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97405,E97405,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
