handle,item_code,name,page,list_eur,remarks,status
berliner-banister-trii2,,Banister Trii2,77,3353.0,,name_only_active
berliner-stainless-steel-slide-trii1,,Stainless Steel Slide Trii1,77,5660.0,Straight box stainless steel slide,name_only_active
berliner-stainless-steel-slide-trii1-2,,Stainless Steel Slide Trii1,77,6543.0,Straight concave stainless steel slide,name_only_active
berliner-stainless-steel-slide-trii2,,Stainless Steel Slide Trii2,77,6621.0,Straight box stainless steel slide,name_only_active
berliner-stainless-steel-slide-trii2-2,,Stainless Steel Slide Trii2,77,9405.0,Straight concave stainless steel slide,name_only_active
berliner-stainless-steel-slide-trii3,,Stainless Steel Slide Trii3,77,14434.0,Straight concave stainless steel slide,name_only_active
berliner-fast-lane-slide-trii1,,Fast Lane Slide Trii1,77,4589.0,Attachment height approx. 1 m,name_only_active
berliner-fast-lane-slide-boo-doubleboo-triitopia-02,,"Fast Lane Slide Boo, DoubleBoo, Triitopia.02",77,5743.0,"Attachment height approx. 1,5 m",name_only_active
berliner-fast-lane-slide-trii2-bam-splash-peak,,"Fast Lane Slide Trii2, Bam, Splash, Peak",77,7084.0,Attachment height approx. 2 m,name_only_active
berliner-triangular-net-with-small-sand-workshop,,Triangular Net with Small Sand Workshop,77,3351.0,,name_only_active
berliner-flag,,Flag,77,674.0,,name_only_active
berliner-90-294-001-237,90.294.001.237,Leaf L,77,1072.0,Price without fixings,active
berliner-90-294-001-236,90.294.001.236,Leaf M,77,906.0,Price without fixings,active
berliner-90-294-001-235,90.294.001.235,Leaf S,77,845.0,Price without fixings,active
berliner-90-295-002,90.295.002,Tower2,82,120485.0,,active
berliner-90-295-007,90.295.007,Tower7,82,210443.0,,active
berliner-90-295-003,90.295.003,Tower3,83,86604.0,,active
berliner-90-295-005,90.295.005,Tower5,83,98435.0,,active
berliner-90-295-001,90.295.001,Tower1,84,55475.0,,active
berliner-90-295-006,90.295.006,Tower6,84,45054.0,,active
berliner-90-295-004,90.295.004,Tower4,85,202854.0,,active
berliner-90-280-004,90.280.004,QuadroBoo,87,78551.0,,active
berliner-peak,,Peak,87,8513.0,,name_only_active
berliner-splash,,Splash,87,8470.0,,name_only_active
berliner-90-270-001,90.270.001,Bam.01,88,42612.0,,active
berliner-90-270-000,90.270.000,Bam,88,29175.0,,active
berliner-90-280-000,90.280.000,Boo,89,22868.0,,active
berliner-90-280-002,90.280.002,Boo.02,89,30492.0,,active
berliner-90-280-000-2,90.280.000.2,DoubleBoo,90,42246.0,,active
berliner-90-280-000-3,90.280.000.3,TripleBoo,90,63815.0,,active
berliner-90-280-014,90.280.014,QuadroBoo.14,91,85363.0,,active
berliner-90-292-001,90.292.001,Peak.01,92,13431.0,,active
berliner-90-291-001,90.291.001,Splash.01,92,14627.0,,active
