handle,item_code,name,page,status,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,remarks
berliner-lu-001-001,LU.001.001,LevelUp.01.1,46,active,34333.0,29183.05,0.0,flat_uplift,1528123.57,1528123.57,0.35,floored,2546872.62,77067.73,65661.86,0.0,0.0,0.0,
berliner-lu-002-002,LU.002.002,LevelUp.02.2,47,active,45218.0,38435.3,0.0,flat_uplift,2012602.8,2012602.8,0.35,,3354338.0,101501.43,86479.43,0.0,0.0,0.0,
berliner-lu-003-001,LU.003.001,LevelUp.03.1,48,active,92614.0,78721.9,0.0,flat_uplift,4122145.94,4122145.94,0.35,floored,6870243.23,207891.84,177124.27,0.0,0.0,0.0,
berliner-lu-004-004,LU.004.004,LevelUp.04.4,49,active,103561.0,88026.85,0.0,flat_uplift,4609384.72,4609384.72,0.35,,7682307.87,232464.71,198060.41,0.0,0.0,0.0,
berliner-lu-005-002,LU.005.002,LevelUp.05.2,50,active,138501.0,117725.85,0.0,flat_uplift,6164525.19,6164525.19,0.35,,10274208.65,310894.98,264883.16,0.0,0.0,0.0,
berliner-solar-explorer,,Solar Explorer,51,name_only_active,595.0,505.75,0.0,flat_uplift,31387.01,26482.79,0.6,floored,52311.68,1582.94,1348.67,0.0,0.0,0.0,
berliner-tile-slide-fish,,Tile Slide Fish,51,name_only_active,531.0,451.35,0.0,flat_uplift,31512.29,23634.22,0.8,floored,52520.48,1589.26,1354.05,0.0,0.0,0.0,
berliner-maze-slider,,Maze Slider,51,name_only_active,531.0,451.35,0.0,flat_uplift,31512.29,23634.22,0.8,floored,52520.48,1589.26,1354.05,0.0,0.0,0.0,
berliner-roller-ball,,Roller Ball,51,name_only_active,595.0,505.75,0.0,flat_uplift,31387.01,26482.79,0.6,floored,52311.68,1582.94,1348.67,0.0,0.0,0.0,
berliner-spin-maze,,Spin Maze,51,name_only_active,531.0,451.35,0.0,flat_uplift,31512.29,23634.22,0.8,floored,52520.48,1589.26,1354.05,0.0,0.0,0.0,
berliner-level-3,,Level 3,51,name_only_active,531.0,451.35,0.0,flat_uplift,31512.29,23634.22,0.8,floored,52520.48,1589.26,1354.05,0.0,0.0,0.0,
berliner-tumble-turn,,Tumble Turn,51,name_only_active,531.0,451.35,0.0,flat_uplift,31512.29,23634.22,0.8,floored,52520.48,1589.26,1354.05,0.0,0.0,0.0,
berliner-make-it-rain,,Make It Rain,51,name_only_active,595.0,505.75,0.0,flat_uplift,31387.01,26482.79,0.6,floored,52311.68,1582.94,1348.67,0.0,0.0,0.0,
berliner-spin-dice,,Spin Dice,51,name_only_active,595.0,505.75,0.0,flat_uplift,31387.01,26482.79,0.6,floored,52311.68,1582.94,1348.67,0.0,0.0,0.0,
berliner-spin-maracas,,Spin Maracas,51,name_only_active,1063.0,903.55,0.0,flat_uplift,56074.6,47312.95,0.6,floored,93457.67,2828.01,2409.47,0.0,0.0,0.0,
berliner-chimes,,Chimes,51,name_only_active,1265.0,1075.25,0.0,flat_uplift,66730.36,56303.74,0.6,floored,111217.27,3365.41,2867.33,0.0,0.0,0.0,
berliner-bongos,,Bongos,51,name_only_active,950.0,807.5,0.0,flat_uplift,50113.71,42283.44,0.6,floored,83522.85,2527.38,2153.33,0.0,0.0,0.0,
berliner-arc-ladder,,Arc Ladder,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-vine,,Vine,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-horizontal-arc-ladder,,Horizontal Arc Ladder,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-access-net,,Access Net,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-net-climber,,Net Climber,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-rope-ladder,,Rope Ladder,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-climbing-plates,,Climbing Plates,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-rocking-plate-seat,,Rocking Plate Seat,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-access-rungs,,Access Rungs,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-balancing-balls,,Balancing Balls,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-s-ladder,,S-Ladder,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-climbing-ring-stairs,,Climbing Ring Stairs,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-spiral,,Spiral,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-climbing-rings,,Climbing Rings,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-vertical-access-rings,,Vertical Access Rings,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-horizontal-access-rings,,Horizontal Access Rings,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-satellights,,Satellights,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-chessboard-bridge,,Chessboard Bridge,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-fast-lane-slide,,Fast Lane Slide,52,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-90-292-400-2,90.292.400.2,Triitopia.02,59,active,322686.0,274283.1,0.0,flat_uplift,14362394.31,14362394.31,0.35,,23937323.85,724337.43,617136.98,0.0,0.0,0.0,
