sku,sku_token,name,fob_usd,unit,pack_qty,carton_cbm,per_unit_cbm,freight_thb,duty_thb,import_vat_thb,landed_thb,retail_thb,retail_usd,retail_sgd,method
KM5509,KM5509,PICK-UP TRIKE,205.48,PC,1.0,0.19,0.19,1045.0,794.61,611.85,9352.6,20014.56,562.51,718.22,cbm_lcl
KM5511,KM5511,PUSH SCOOTER,134.42,PC,1.0,0.06,0.06,330.0,484.46,373.03,5702.04,12202.36,342.95,437.88,cbm_lcl
KM5513,KM5513,WALKING BIKE,131.45,PC,1.0,0.08,0.08,440.0,485.48,373.82,5714.11,12228.18,343.68,438.81,cbm_lcl
KM5516,KM5516,WEPLAY TUK TUK,261.8,PC,1.0,0.26,0.26,1430.0,1022.27,787.15,12032.08,25748.64,723.67,923.99,cbm_lcl
KP0001.1,KP0001,MAZE BALANCE BOARD,18.59,PC,6.0,0.09,0.015,82.5,70.69,54.43,831.97,1780.41,50.04,63.89,cbm_lcl
KP0002.1,KP0002,CIRCULAR BALANCING BOARD,20.35,PC,6.0,0.11,0.018333,100.83,78.43,60.39,923.12,1975.47,55.52,70.89,cbm_lcl
KP0003.1,KP0003,TAI-CHI BALANCE BOARD (L),59.49,PC,2.0,0.12,0.06,330.0,232.8,179.26,2740.05,5863.71,164.8,210.42,cbm_lcl
KP0004.1,KP0004,TAI-CHI BALANCE BOARD (S),25.48,PC,6.0,0.16,0.026667,146.67,100.24,77.19,1179.85,2524.88,70.96,90.61,cbm_lcl
KP0005,KP0005,PUTT PUTT BALANCE BOARD,48.4,PC,6.0,0.16,0.026667,146.67,177.22,136.46,2085.88,4463.79,125.46,160.18,cbm_lcl
KP1001.1,KP1001,SEESAW (A),17.38,PC,12.0,0.18,0.015,82.5,66.62,51.3,784.13,1678.05,47.16,60.22,cbm_lcl
KP1002.1,KP1002,SEESAW (B),17.38,PC,12.0,0.18,0.015,82.5,66.62,51.3,784.13,1678.05,47.16,60.22,cbm_lcl
KP1003.1,KP1003,ROCKING SEESAW,26.4,PC,6.0,0.15,0.025,137.5,102.42,78.86,1205.43,2579.62,72.5,92.57,cbm_lcl
KP1005-00B,KP1005,WEPLAY WHALLY BOARD (BLUE),35.75,PC,3.0,0.15,0.05,275.0,147.57,113.63,1736.87,3716.91,104.46,133.38,cbm_lcl
KP1007,KP1007,WEPLAY SEASOUND SEESAW,60.5,SET,1.0,0.06,0.06,330.0,236.19,181.87,2779.98,5949.15,167.2,213.49,cbm_lcl
KP1801,KP1801,FOREST PARTY,275.0,SET,1.0,0.21,0.21,1155.0,1039.1,800.11,12230.2,26172.63,735.59,939.21,cbm_lcl
KP1803,KP1803,FOREST PARTY (S),146.3,SET,1.0,0.11,0.11,605.0,551.85,424.93,6495.33,13900.01,390.66,498.8,cbm_lcl
KP2001.1,KP2001,ROTATOR,38.17,PC,4.0,0.1,0.025,137.5,141.95,109.3,1670.7,3575.3,100.48,128.3,cbm_lcl
KP2002.1-00B,KP2002,ROTATION BOARD WITH HANDLES,74.8,PC,1.0,0.05,0.05,275.0,278.72,214.61,3280.52,7020.32,197.31,251.92,cbm_lcl
